Row_Number,Time_Stamp,SockOwner1_Name,SockOwner1_Country,SockOwner1_Gender,SockOwner1_Age,SockOwner1_Smelliness,SockOwner2_Name,SockOwner2_Country,SockOwner2_Gender,SockOwner2_Age,SockOwner2_Smelliness
268,17:22:40,Quinlan Haile,United States,M,88,0.8,Odie Stow,China,M,30,0.91
269,7:11:34,Corney Broadbere,Peru,F,16,0.52,Morly Buyers,China,M,69,0.32
270,3:06:01,Tersina Halfacree,Japan,F,1,0.05,Prudence Belfield,Indonesia,F,10,0.29
271,14:41:46,Bondy Halbord,Bosnia and Herzegovina,M,44,0.92,Giraldo Tuck,Ukraine,M,81,0.61
272,22:50:20,Binny Hue,Brazil,F,26,0.65,Koralle Wolledge,Indonesia,F,91,0.87
273,13:42:53,Claire Mee,Indonesia,M,3,0.25,Brant Paoloni,Sweden,M,70,0.59
274,8:20:11,Kevan Gounet,Japan,M,39,0.89,Stafford Bowdery,Kenya,M,14,0.37
275,20:19:10,Neala Oseman,Russia,M,24,0.64,Vikki Wolsey,North Korea,F,21,0.87
276,21:34:27,Vidovik Guiot,China,F,29,0.57,Nollie Monard,Indonesia,M,23,0.81
277,12:20:44,Roland De Banke,Sweden,M,94,0.37,Roi Lattos,China,M,64,0.84
278,21:08:27,Cinnamon Fowlds,China,F,61,0.43,Karisa Cary,Philippines,F,77,0.51
279,11:40:51,Prescott Wadworth,Portugal,M,47,0.58,Natty Grimsey,China,M,27,0.87
280,0:15:15,Norbie Laugheran,Bulgaria,M,35,0.34,Sloane Stratford,Philippines,M,63,0.57
281,17:22:47,Lynnea Adriaan,China,M,54,0.74,Thea Ucchino,United States,F,31,0.69
282,23:13:30,Anabelle Phare,Russia,M,21,0.86,Georgianne Tetsall,Poland,F,63,0.78
283,5:44:25,Val Matyas,Paraguay,F,15,0.61,Livia Butt Gow,Uzbekistan,F,77,0.42
284,6:03:53,Gayleen Holston,China,M,69,0.39,Christiana Feehan,Greece,F,57,0.36
285,0:10:35,Edsel Peat,Russia,F,14,0.58,Valle Avraham,Argentina,M,51,0.35
286,13:08:36,Dominga Withinshaw,Thailand,F,74,0.83,Marie-jeanne Negal,Afghanistan,F,75,0.8
287,22:48:25,Felice Amoss,Brazil,F,90,0.64,Jacobo Cuffin,Russia,M,91,0.33
288,13:42:00,Louis Krystof,France,F,25,0.42,Hillery Bealing,China,M,54,0.6
289,10:43:15,Marice Linne,Portugal,F,70,0.71,Jami Ticksall,Pakistan,F,77,0.53
290,4:51:06,Edgardo Maulin,Portugal,M,39,0.76,Isacco Le Breton,Georgia,M,89,0.65
291,3:13:51,Drusilla Burkin,Nigeria,M,74,0.54,Catherin Pilkington,Indonesia,F,4,0.18
292,20:38:46,Rowena Upcraft,Russia,M,42,0.33,Nisse Vales,Costa Rica,F,24,0.63
293,5:59:07,Shea Petrillo,France,F,11,0.3,Selma Kerswill,Ukraine,F,55,0.78
294,1:10:29,Ellissa Ealam,Indonesia,F,59,0.58,Karrie Lightbown,Indonesia,F,45,0.76
295,0:20:12,Arabele Sheryne,Mexico,F,33,0.51,Cristin Redley,Czech Republic,F,63,0.51
296,18:16:26,Bettina Attenbrow,Colombia,F,60,0.56,Elvira Bain,China,F,29,0.63
297,21:42:28,Gerrard Twinbrow,Russia,F,47,0.5,Patric Glendenning,Mexico,M,65,0.69
298,15:48:36,Lane Ager,China,M,31,0.35,Fan Peers,Greece,F,56,0.92
299,0:27:49,Flem Dryburgh,Poland,F,86,0.51,Clemmy Burree,Peru,M,55,0.31
300,18:22:56,Ware Enston,China,F,50,0.74,Gabby Tivolier,Russia,M,84,0.42
301,21:39:15,Andriana Uff,Chile,M,95,0.75,Margarete Archbutt,Finland,F,93,0.4
302,23:29:01,Jacklyn Ducker,China,F,89,0.77,Faydra De la Barre,Moldova,F,82,0.76
303,14:59:14,Arlin Chafney,Poland,M,19,0.79,Omero Bader,China,M,61,0.94
304,0:58:05,Joelynn Symcox,Russia,M,88,0.6,Jeanette Ottosen,Brazil,F,47,0.61
305,9:27:17,Donavon Pockett,Brazil,F,9,0.24,Inger Pringley,Thailand,M,13,0.03
306,0:48:40,Rene Moreinis,Sri Lanka,F,5,0.16,Vanessa Skoyles,Egypt,F,83,0.54
307,8:49:22,Bernhard Eubank,Russia,M,82,0.86,Linoel D'Ambrogio,Poland,M,71,0.51
308,1:56:43,Dennison McDavitt,Philippines,M,22,0.41,Bendix Simnell,Argentina,M,35,0.65
309,6:02:30,Otho Rozsa,Madagascar,M,45,0.48,Isidor Franssen,Japan,M,81,0.53
310,6:03:28,Starla Andreotti,Indonesia,F,18,0.79,Dorice Sutherden,Germany,F,33,0.85
311,8:48:48,Terrell Gribbell,Costa Rica,F,52,0.79,Alfy Mosedill,Brazil,M,20,0.95
312,14:19:35,Carlita Whiteley,Ukraine,F,59,0.76,Nata Launchbury,France,F,51,0.65
313,19:48:41,Moses Schaffler,Greece,M,21,0.76,Alain Hourston,Bulgaria,M,81,0.33
314,7:07:50,Raynor Parish,China,F,77,0.82,Hubey Plinck,China,M,10,0.25
315,17:16:52,Lee Caile,Philippines,M,46,0.73,Zorina Trippick,United States,F,48,0.77
316,20:27:03,Jaye Davys,Serbia,F,44,0.47,Bancroft Streeten,China,M,34,0.72
317,19:01:29,Tabby Balcon,China,F,81,0.74,Thatcher Vango,Indonesia,M,33,0.7
318,10:09:28,Madelene Baudone,Poland,F,20,0.88,Corette Pauwel,Macedonia,F,91,0.68
319,18:38:25,Lorrie Spratley,Morocco,F,46,0.58,Austine Border,Philippines,F,88,0.95
320,4:39:58,Obed Vobes,United States,M,50,0.55,Keir Alibone,Ukraine,M,33,0.93
321,10:50:10,Codi Bernaldez,China,F,50,0.58,Chickie O'Hollegan,Poland,M,14,0.46
322,1:47:20,Valentine Griffitts,Peru,F,11,0.3,Mary Valentim,Indonesia,F,1,0.12
323,23:04:04,Felicio Raselles,China,F,83,0.81,Terry Kendal,Russia,M,64,0.54
324,13:00:40,Steffen Wapple,Peru,M,55,0.62,Dennie Wyllis,Poland,M,83,0.81
325,8:59:52,Silas Gunston,Brazil,F,10,0.16,Matthew Silcocks,Honduras,M,3,0.02
326,19:13:35,Alyda Leif,France,F,26,0.73,Dona Roth,China,F,72,0.6
327,8:57:47,Dionisio Buncher,Yemen,F,8,0.14,Klemens Belford,Peru,M,59,0.82
328,5:45:18,Abbott Jaouen,Ghana,M,32,0.65,Jose Lindeberg,Indonesia,M,61,0.32
329,11:08:29,Freida Bastian,Albania,M,86,0.88,Cherilyn Kowalski,Mongolia,F,34,0.62
330,7:41:53,Orson Durnford,Japan,M,32,0.69,Nicolas Shalliker,Portugal,M,84,0.47
331,1:36:42,Callida Offin,Kenya,F,39,0.81,Alysia Bapty,Poland,F,9,0.13
332,9:37:05,Rafe Woodruffe,Peru,F,93,0.91,Waylan Hinemoor,Peru,M,12,0.13
333,22:46:50,Huntlee Sisneros,Poland,M,12,0.08,Saunderson Burdell,Indonesia,M,72,0.44
334,17:54:03,Margeaux Becken,Indonesia,F,22,0.6,Jacquelin Paull,Peru,F,14,0.5
335,8:30:57,Mignonne Klimus,Argentina,F,7,0.14,Renae Fitton,Cuba,F,44,0.86
336,20:14:08,Nicholas Healy,Portugal,F,25,0.63,Stearn Causon,Brazil,M,88,0.75
337,21:23:48,Nickolas Hatch,Portugal,M,54,0.31,Giorgi Gawith,Palestinian Territory,M,58,0.67
338,9:37:27,Arleen Amberger,Yemen,F,28,0.43,Betta Maffini,Cyprus,F,64,0.32
339,16:31:57,Meredith Buckthorp,Comoros,F,71,0.41,Kort Gatman,Netherlands,M,67,0.52
340,12:57:34,Tammy Croux,Indonesia,F,67,0.61,Norrie Ainsby,Denmark,F,40,0.89
341,13:55:29,Tally Kintish,Greece,M,8,0.17,Melinde Ruggieri,Philippines,F,30,0.69
342,6:57:51,Cristine Holbie,Thailand,F,50,0.35,Juieta Telford,Mongolia,F,83,0.87
343,7:29:57,Alfie Padgham,United States,M,1,0.04,Alyce Bottrill,Haiti,F,93,0.94
344,9:50:35,Thurston Bartens,Russia,F,6,0.03,Ulick MacKeever,China,M,90,0.68
345,22:46:37,Edith Lyddiard,China,M,58,0.61,Gladys Portigall,Indonesia,F,39,0.75
346,9:52:26,Garrett Fishly,China,F,92,0.43,Towney Penhall,China,M,75,0.4
347,11:17:12,Dun O' Liddy,France,F,79,0.79,Vincents Waldrum,Ukraine,M,21,0.7
348,10:55:35,Melloney Adnett,Armenia,M,11,0.13,Bekki Furbank,Vietnam,F,18,0.73
349,5:25:00,Regine Slowgrove,Philippines,M,22,0.51,Norri Verrillo,Argentina,F,63,0.8
350,6:15:12,Gerardo Chaize,Brazil,F,6,0.08,Cly Scatchard,Portugal,M,68,0.46
351,16:13:34,Marcille Bridgewater,Finland,F,1,0.11,Marys Baggs,Venezuela,F,23,0.62
352,2:51:24,Johan Kobiela,Peru,F,46,0.59,Karlis Pollastro,Colombia,M,58,0.51
353,9:35:52,Cleon Barnfather,Russia,F,51,0.45,Steve Horlock,Macedonia,M,36,0.93
354,17:02:00,Joellyn Alten,Indonesia,F,29,0.37,Sophie Abraham,China,F,80,0.93
355,19:10:10,Megan Widger,France,F,6,0.13,Brear Bourbon,Peru,F,61,0.37
356,16:52:48,Son Chaters,Democratic Republic of the Congo,M,49,0.48,Randolf Ellar,Philippines,M,77,0.7
357,16:25:07,Aksel Downham,Vietnam,M,83,0.5,Chevalier Seppey,China,M,41,0.76
358,8:30:50,Urson Gaskal,Venezuela,F,77,0.68,Ignacius Stutely,China,M,56,0.35
359,5:25:35,Rhonda Novkovic,Japan,F,27,0.92,Darsey Sillwood,Philippines,F,47,0.36
360,4:48:06,Templeton Leadbitter,Russia,M,80,0.83,Sig Curley,Marshall Islands,M,70,0.57
361,9:29:38,Paulette Frane,Croatia,M,83,0.71,Winnah Brabender,Philippines,F,4,0.14
362,0:07:24,Esra Hellcat,Portugal,M,41,0.62,Bertram Onele,Russia,M,47,0.86
363,15:37:41,Arthur Weeks,Russia,M,19,0.92,Kerry Mendes,Indonesia,M,24,0.85
364,11:25:26,Jacinda Worland,Vietnam,F,88,0.72,Melissa Yellowlea,Pakistan,F,64,0.44
365,10:35:51,Roda Farmiloe,Russia,M,43,0.9,Elna Henrion,Denmark,F,73,0.61
366,11:09:01,Halette Lanchbery,Indonesia,M,13,0.03,Charleen Haysman,Ireland,F,41,0.57
367,1:12:51,Ulberto Ranscome,Canada,M,89,0.85,Gav Vannet,Colombia,M,95,0.76
368,18:52:17,Marietta Wharby,Brazil,M,83,0.49,Daisie McIlherran,Poland,F,23,0.64
369,3:56:10,Adair Mingay,France,M,95,0.42,Wolfie Bricket,Sweden,M,59,0.6
370,21:16:44,Sandra Dennidge,Japan,F,49,0.89,Jade Affuso,China,F,69,0.58
371,18:44:14,Boony Torvey,Philippines,M,56,0.31,Gottfried Bartolomucci,Indonesia,M,31,0.81
372,0:08:38,Bat Towns,Russia,M,10,0.07,Alfie Glaister,United States,M,58,0.56
373,3:45:32,Verena Lamputt,China,M,86,0.85,Sherilyn Harring,Croatia,F,91,0.73
374,20:52:18,Cinda Wycliff,China,F,5,0.13,Netta Pietri,Philippines,F,23,0.61
375,3:52:09,Quentin Shreeve,Indonesia,M,87,0.39,Papageno Dinse,Sweden,M,52,0.48
376,19:39:21,Leopold Ulyet,China,M,49,0.83,Dionysus Tinman,Argentina,M,45,0.35
377,17:11:32,Flor Chirm,China,F,39,0.94,Billi Verrier,Poland,F,22,0.82
378,18:49:27,Caitrin Lambshine,China,M,55,0.31,Sibby Mendes,China,F,15,0.36
379,6:23:48,Paxton Knevit,Tunisia,M,29,0.66,Decca Pratley,Russia,M,72,0.67
380,13:17:08,Rafa Glavis,Brazil,F,33,0.63,Dorothee Semkins,China,F,17,0.59
381,4:34:53,Katherina Zimmermeister,Spain,M,71,0.82,Carmita Giraudat,Sweden,F,6,0.3
382,4:58:12,Wildon Biaggi,Nigeria,F,39,0.36,Greg Timms,Indonesia,M,67,0.53
383,17:47:45,Bobbie Heikkinen,Iran,F,33,0.7,Bentlee Johnsey,Philippines,M,55,0.51
384,8:33:05,Tanitansy Quarlis,China,M,46,0.42,Leigha Heffron,China,F,5,0.2
385,14:43:41,Yovonnda Parman,Russia,M,62,0.71,Cordey Lowthorpe,Portugal,F,21,0.6
386,7:12:06,Hewitt Iglesia,Indonesia,M,35,0.77,Jason Wawer,Indonesia,M,50,0.63
387,23:26:14,Camile Macak,Brazil,F,64,0.45,Auguste Stooders,China,F,54,0.34
388,18:59:54,Godart Castan,Democratic Republic of the Congo,M,30,0.37,Timofei Ubsdall,China,M,12,0.21
389,21:42:44,Grazia Remmers,China,F,35,0.7,Cari Munnis,China,F,61,0.76
390,10:02:28,Kilian Southard,Philippines,M,65,0.69,Euell Larmett,Brazil,M,49,0.88
391,6:27:45,Hyacinthie Osipenko,Nepal,M,95,0.87,Dehlia Elfe,Chile,F,87,0.83
392,16:30:57,Holly Sapsed,Portugal,F,29,0.62,Amory Oglesbee,China,M,9,0.17
393,14:34:33,Aleen Dumbrall,Greece,F,86,0.89,Clementine Jurasek,China,F,30,0.68
394,4:14:44,Kristen Pablos,Swaziland,M,1,0.16,Michal Dennistoun,Uzbekistan,F,83,0.36
395,1:06:43,Frederique Cleeton,Kazakhstan,F,66,0.57,Aurilia Death,Philippines,F,45,0.81
396,18:01:58,Benedicta Antonognoli,China,F,7,0.27,Paola Aspray,China,F,23,0.7
397,21:55:30,Mycah Levin,Malaysia,F,39,0.84,Levi Rough,Russia,M,4,0.23
398,1:26:48,Barbe Schermick,China,M,19,0.33,Ora Keeney,Russia,F,70,0.38
399,13:46:00,Jock Klimko,Indonesia,M,75,0.88,Benjie Kingsland,China,M,3,0.15
400,14:35:55,Pauly Fildes,Tunisia,M,54,0.46,Erika Kinzel,Thailand,F,50,0.36
401,14:05:09,Drusy Moynihan,Poland,F,7,0.23,Caroljean Gabbitus,Brazil,F,75,0.57
402,18:23:58,Lennie Lorenzin,Portugal,M,62,0.44,Giorgi McLewd,Philippines,M,88,0.71
403,8:46:07,Danette Belli,Micronesia,F,65,0.52,Lexy Gibbon,Russia,F,8,0.26
404,0:58:25,Ulises Wolfenden,China,F,48,0.4,Thibaut Gallahar,Philippines,M,27,0.67
405,0:36:37,Whitney Dole,Sweden,M,11,0.15,Rees Rainard,Portugal,M,8,0.28
406,8:05:51,Monica Nolton,Belarus,M,6,0.27,Rozanne Chappelle,China,F,25,0.65
407,12:13:11,Ferdinanda Hurran,Czech Republic,M,7,0.28,Giulia Lawland,Indonesia,F,1,0.13
408,14:46:27,Amii Bone,China,F,67,0.33,Leticia Shedden,Macedonia,F,86,0.42
409,1:53:18,Abbey Moretto,Pakistan,M,94,0.48,Tracy Tichner,China,F,34,0.66
410,2:36:18,Otha Gauntlett,Japan,M,73,0.48,Arlee Le Leu,China,F,62,0.31
411,1:07:03,Larissa Slemmonds,China,M,83,0.59,Cassondra Hartigan,China,F,91,0.73
412,20:34:45,Jamison Fearne,Peru,F,81,0.4,Ricky Ridgewell,Indonesia,M,20,0.82
413,17:50:39,Leyla Scullin,Laos,F,40,0.78,Willette Plane,Lithuania,F,35,0.62
414,19:12:51,Trstram Magenny,China,M,52,0.4,Peter Brisland,Iran,M,65,0.34
415,19:28:08,Ephrem Guthrie,Democratic Republic of the Congo,F,32,0.54,Sergent Marcoolyn,China,M,91,0.37
416,14:10:57,Konstantin Chesterman,Czech Republic,F,21,0.68,Hobey Huban,Mexico,M,7,0.19
417,18:33:38,Ddene Harrema,Russia,M,46,0.3,Merrile Petasch,Indonesia,F,94,0.91
418,3:03:13,Vivyanne Roger,Argentina,F,38,0.82,Lula Seawright,Philippines,F,48,0.72
419,4:32:05,Yulma Rosewell,Philippines,M,80,0.53,Nikita Alexsandrovich,Brazil,M,64,0.95
420,2:47:24,Ced Boscott,Netherlands,F,18,0.7,Urbain Kuhlmey,China,M,48,0.71
421,17:01:06,Clarice Theml,Brazil,M,83,0.47,Aloise Beri,Russia,F,55,0.33
422,22:03:36,Consuela Lenham,Japan,F,51,0.45,Brandais Curmi,Colombia,F,49,0.53
423,16:04:42,Kandy Hefner,Ukraine,M,54,0.63,Mitzi Fleis,Germany,F,86,0.52
424,9:01:30,Carlie Benardeau,Indonesia,F,54,0.52,Ari McGreay,Indonesia,M,40,0.61
425,15:13:18,Palm Stonuary,Ukraine,M,59,0.87,Quint Reggiani,Macedonia,M,15,0.54
426,4:01:05,Jamesy Trundell,China,M,23,0.5,Philip Winterflood,Russia,M,8,0.14
427,16:14:18,Vaclav Priddle,Uzbekistan,F,21,0.72,Giordano Aguirrezabal,Bosnia and Herzegovina,M,63,0.78
428,4:28:46,Georg Von Helmholtz,Czech Republic,F,2,0.1,Farrell Holt,Sudan,M,23,0.88
429,23:21:47,Michail Creswell,Philippines,M,17,0.86,Bordie McKitterick,Kenya,M,51,0.4
430,10:24:00,Leanora Terrell,France,F,48,0.64,Elspeth Petrolli,China,F,25,0.79
431,11:23:56,Harrie Bienvenu,France,M,80,0.93,Latrena Wylder,South Africa,F,79,0.76
432,3:19:29,Essa Tzuker,China,M,62,0.64,Annamarie McAlindon,Russia,F,32,0.83
433,1:17:58,Xena Brocking,El Salvador,M,20,0.41,Sande Dami,Libya,F,76,0.85
434,20:30:25,Wallache Doumic,Indonesia,F,19,0.45,Ashley Borkett,American Samoa,M,48,0.46
435,12:57:39,Clerc Trowl,China,F,16,0.32,Maurie Shapero,New Zealand,M,80,0.65
436,11:18:22,Hardy Bampfield,Indonesia,M,71,0.89,Rudie Edeler,Sudan,M,23,0.77
437,18:35:47,Edy Gadson,South Africa,M,18,0.73,Jennee Scholler,Russia,F,79,0.66
438,3:11:23,Hugo Eastridge,Portugal,M,74,0.48,Maje Triebner,Brazil,M,87,0.35
439,13:51:12,Hollis Hobson,Brazil,F,26,0.7,Myron McKerrow,Ukraine,M,23,0.81
440,16:14:18,Aguie Guild,Bulgaria,F,30,0.37,Nicolis Keen,Sweden,M,28,0.79
441,9:51:53,Sheffield Quillinane,China,M,48,0.74,Paolo Siemons,China,M,24,0.76
442,15:33:23,Cathleen Davenell,Indonesia,M,68,0.44,Madlen Shermar,Hungary,F,46,0.88
443,11:38:11,Hillary Schubart,Jamaica,F,56,0.69,Tedda Pykerman,Mexico,F,50,0.38
444,20:33:35,Arty Ruppelin,Philippines,M,48,0.71,Willy Breming,China,M,76,0.5
445,0:06:49,Trevor Miquelet,China,F,5,0.04,Zeke Slatten,Japan,M,69,0.42
446,20:24:05,Sephira Casiroli,China,M,66,0.87,Beverlie Soldi,France,F,65,0.7
447,7:03:26,Aundrea Cogzell,Indonesia,M,29,0.62,Gilda Isoldi,Malta,F,54,0.37
448,8:39:12,Kain Kyles,Poland,M,69,0.36,Baird Ranahan,Canada,M,89,0.73
449,13:06:50,Rusty Mileham,Russia,M,54,0.62,Isak Lawlee,Peru,M,73,0.66
450,17:00:18,Deina Moye,Israel,M,76,0.68,Oliy Grigori,Sweden,F,95,0.32
451,15:58:13,Cordula Hintzer,Philippines,F,68,0.56,Toinette Liebmann,Croatia,F,59,0.76
452,20:48:00,Gerianna Lowrey,Philippines,M,65,0.49,Denna Wiz,Indonesia,F,45,0.55
453,4:50:57,Damaris Huckel,Indonesia,M,46,0.35,Bettye Demoge,Philippines,F,17,0.33
454,5:06:25,Isac Neller,France,F,7,0.21,Nikola Munslow,Brazil,M,41,0.3
455,2:46:31,Mathilda Doodson,Croatia,F,56,0.42,Bobby Beaman,Indonesia,F,83,0.51
456,13:35:03,Camey Shortell,Nigeria,M,73,0.88,Antone Ever,Poland,M,46,0.46
457,2:37:05,Kimberli Ladbury,Malaysia,F,37,0.81,Kikelia Gabbett,China,F,75,0.49
458,3:42:49,Georgie Kitto,Russia,F,46,0.32,Mahmoud Coll,China,M,30,0.8
459,16:34:39,Karole Chater,Poland,F,90,0.76,Bari Leyborne,Colombia,F,42,0.83
460,22:22:29,Bernie Stolting,Kyrgyzstan,M,85,0.31,Neysa Margetson,Indonesia,F,19,0.74
461,5:16:22,Bel Muzzollo,Brazil,M,83,0.83,Babb Oakden,Indonesia,F,34,0.66
462,1:12:14,Ardis Nasi,China,M,12,0.25,Celinka Grimsdell,Kazakhstan,F,81,0.49
463,4:23:56,Ginny Robrow,Kenya,F,68,0.45,Faith Huxton,Russia,F,65,0.84
464,13:07:23,Yvor Beveridge,Russia,M,25,0.91,Raoul Feuell,Indonesia,M,54,0.72
465,21:31:14,Tatiana Mintoft,South Africa,M,16,0.58,Melodee Kopman,Mexico,F,2,0.07
466,7:27:58,Wylie Kleinlerer,Russia,F,91,0.92,Humfrid Bruhnke,Indonesia,M,52,0.74
467,11:26:09,Barney Tolumello,Guatemala,F,86,0.4,Trenton Hillaby,Mongolia,M,38,0.88
468,14:07:28,Faye Tuffey,Bahrain,M,59,0.44,Corinna Boshell,Nigeria,F,78,0.69
469,7:46:22,Mozes Norrey,Portugal,F,56,0.32,Talbot Sawney,Indonesia,M,4,0.17
470,10:43:06,Rodolph Dumphy,Netherlands,M,32,0.63,Orion Blare,China,M,4,0.1
471,5:32:31,Tabbitha Massy,Egypt,F,75,0.86,Clovis Pendry,Canada,F,10,0.05
472,17:43:52,Meaghan Akitt,United States,F,58,0.82,Mariele Duffus,China,F,66,0.73
473,8:44:26,Brianna Llewhellin,Portugal,F,16,0.46,Valerye Matteoni,Russia,F,42,0.34
474,10:23:09,Godfree Aylen,Ukraine,F,84,0.46,Lovell Lerner,United States,M,34,0.86
475,1:06:20,Rafferty Billham,China,M,45,0.51,Jone Jessen,Russia,M,61,0.8
476,17:23:27,Bryanty Barcroft,Philippines,F,91,0.41,Theodoric Molyneaux,Slovenia,M,87,0.94
477,4:34:15,Reinold Naul,Pakistan,M,36,0.71,Wes McAvinchey,Uganda,M,43,0.31
478,7:56:09,Richard Rainard,Democratic Republic of the Congo,F,61,0.62,Howey Burbidge,Indonesia,M,11,0.28
479,12:47:56,Torre Corkett,Brazil,F,73,0.81,Reamonn Lauder,Iran,M,54,0.51
480,20:23:09,Joshia Ygou,Indonesia,F,50,0.58,Cletus Cliff,Philippines,M,66,0.44
481,16:57:22,Candide McKendo,United States,M,48,0.8,Ilse Leyninye,Indonesia,F,3,0.28
482,3:49:32,Manda Bletso,Czech Republic,F,85,0.47,Octavia Joel,American Samoa,F,40,0.7
483,16:49:27,Fred Currall,China,M,90,0.56,Sayer Taynton,Argentina,M,32,0.82
484,2:43:45,Alvinia MacAllester,Mongolia,M,39,0.47,Krystyna Blackway,Portugal,F,20,0.72
485,4:45:26,Lissi Roden,China,F,29,0.59,Aviva Chue,Portugal,F,4,0.08
486,21:19:56,Aili Gretham,Peru,M,19,0.67,Leelah Blasi,Afghanistan,F,82,0.32
487,17:42:42,Eadie Corbert,Guatemala,F,3,0.21,Lulita Speedy,China,F,17,0.41
488,20:52:01,Sanders Senter,China,F,9,0.07,Nathanael Reid,Peru,M,79,0.63
489,5:58:08,Moses Philot,China,F,92,0.39,Terry Willshear,Thailand,M,56,0.37
490,6:29:47,Editha Blais,China,M,73,0.43,Scarlett Hove,Palestinian Territory,F,20,0.77
491,14:55:17,Rhett Dincke,Indonesia,M,58,0.8,Mata Kegan,Japan,M,75,0.54
492,20:47:29,Brien Carnie,China,M,31,0.67,Dalis Hince,Georgia,M,18,0.63
493,8:03:50,Phyllys Beadon,Nepal,F,66,0.62,Kathleen Panketh,China,F,26,0.76
494,22:07:38,Tades Peto,Tanzania,M,30,0.83,Alvy Combes,Philippines,M,42,0.47
495,2:43:12,Anatollo Dillistone,Russia,F,71,0.35,Omero Bordiss,Indonesia,M,33,0.77
496,16:29:23,Lodovico Skerm,Russia,F,33,0.37,Bev Abotson,Russia,M,42,0.74
497,16:21:39,Freedman Chace,Guatemala,F,36,0.58,Carl Southcoat,Canada,M,51,0.78
498,10:43:44,Roxanna Josovitz,China,F,51,0.69,Celinka Fishlock,Canada,F,64,0.65
499,9:28:17,Kirstin Marciskewski,France,M,3,0.18,Paule Quinton,Greece,F,54,0.54
500,20:18:21,Willem Staley,Portugal,F,18,0.46,Ernesto Baversor,Philippines,M,89,0.38
501,13:02:36,Tremaine Roizin,China,M,43,0.7,Gregory Pheasant,Bolivia,M,62,0.35
502,17:52:43,Bret Sach,Indonesia,F,10,0.03,Bary Ost,China,M,27,0.6
503,11:58:33,Adelind Kaemena,Slovenia,M,21,0.35,Odelia Baton,China,F,7,0.1
504,14:47:13,Leoine Marrow,Chile,M,69,0.95,Krystle Heaviside,Sweden,F,60,0.5
505,1:14:15,Benni Harrow,China,M,74,0.34,Rebecca Meece,Poland,F,57,0.86
506,20:58:05,Margarethe Moakler,Indonesia,M,83,0.55,Leia Liversage,China,F,4,0.03
507,5:27:28,Lorine Corzon,Philippines,M,90,0.47,Kellen Di Maggio,Laos,F,36,0.72
508,7:07:56,Ced Ambroziak,Tunisia,F,18,0.89,Duncan Muddiman,Brazil,M,15,0.54
509,4:37:03,Fairleigh Fryd,Indonesia,F,53,0.91,Jakie Youll,Israel,M,17,0.38
510,9:39:23,Neil Karsh,Czech Republic,M,76,0.49,Emanuele Gonzalvo,China,M,5,0.14
511,9:53:34,Janine Irnis,Indonesia,F,25,0.48,Adela Roast,Malawi,F,33,0.65
512,22:29:26,Blaire Joppich,Philippines,F,42,0.85,Ciel Gowrie,Pakistan,F,12,0.21
513,23:33:54,Brade De Nisco,Macedonia,F,34,0.56,Godard Cortes,Argentina,M,79,0.9
514,12:35:07,Janessa Osborne,Philippines,M,21,0.64,Darcy Santi,China,F,30,0.76
515,21:35:43,Eydie Tookill,Sweden,F,40,0.46,La verne Cops,Colombia,F,25,0.89
516,19:01:43,Loreen Cromack,Portugal,F,31,0.92,Gwennie Duffyn,Lithuania,F,69,0.39
517,11:09:38,Halimeda Marthen,Russia,M,11,0.26,Danya Emmott,Morocco,F,87,0.42
518,21:15:03,Cornelia Crathern,Nicaragua,F,42,0.78,Christel Winsbury,Brazil,F,52,0.37
519,17:56:02,Wye Terris,Philippines,F,77,0.32,Padget Trasler,Russia,M,13,0.05
520,22:37:04,Lidia Ferras,China,M,47,0.63,Mercedes Clohessy,Brazil,F,45,0.82
521,5:06:34,Roderick Crab,Kiribati,M,50,0.82,Arie Stockall,Philippines,M,55,0.43
522,11:17:13,Sully Talkington,Portugal,M,53,0.62,Alfredo Bayne,Bangladesh,M,70,0.72
523,11:37:33,Mike Giannazzi,Poland,M,89,0.49,Spencer Greenrde,China,M,40,0.52
524,11:54:39,Conrado Navarijo,Syria,M,54,0.71,Gherardo Peyto,United States,M,22,0.79
525,7:34:35,Mac Crowder,Croatia,F,12,0.15,Millard Beardall,Uzbekistan,M,92,0.85
526,5:12:11,Gorden Press,Vietnam,F,64,0.92,Rodrick Johanning,Indonesia,M,76,0.69
527,7:18:45,Hubie Paynton,Togo,F,73,0.94,Mandel Bruckstein,Philippines,M,90,0.47
528,4:28:10,Brittaney Scourgie,Poland,F,10,0.22,Hinda Affleck,Russia,F,62,0.35
529,6:05:59,Irena Brookes,Indonesia,M,31,0.68,Zondra Hounsham,Paraguay,F,1,0.27
530,7:01:27,Claudius Paramor,Brazil,F,8,0.15,Kliment Stocks,Russia,M,71,0.39
531,7:25:26,Anallese Campion,Indonesia,M,88,0.56,Corella Trembley,China,F,50,0.57
532,6:26:42,Alex St Leger,Mongolia,M,78,0.64,Vachel Shortall,Colombia,M,73,0.68
533,5:17:37,Caryl Crottagh,Russia,M,54,0.53,Ramsey Bremeyer,Poland,M,95,0.31
534,7:43:53,Sibella Diemer,Albania,F,18,0.7,Mersey Le Batteur,Russia,F,23,0.79
535,0:44:01,Kizzie Harriagn,Mali,F,87,0.61,Marissa Veschambes,China,F,4,0.14
